Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,45.880001,45.990002,45.810001,45.900002,44.352741,5649200
2017-11-28,45.990002,46.150002,45.779999,45.830002,44.285103,8432800
2017-11-29,45.770000,45.820000,45.209999,45.500000,43.966228,16502100
2017-11-30,45.139999,45.840000,45.029999,45.770000,44.589722,17147600
2017-12-01,45.799999,46.020000,45.209999,45.970001,44.784565,12468800
2017-12-04,45.990002,46.380001,45.770000,46.230000,45.037861,17523600
2017-12-05,46.250000,46.439999,46.060001,46.259998,45.067085,13670800
2017-12-06,46.360001,46.480000,46.259998,46.450001,45.252186,8154000
2017-12-07,46.290001,46.320000,45.720001,45.779999,44.599464,9106500
2017-12-08,45.700001,45.730000,45.049999,45.310001,44.141586,13238600
2017-12-11,45.310001,45.410000,44.919998,45.330002,44.161072,9698700
2017-12-12,45.250000,45.520000,45.060001,45.290001,44.122105,13999300
2017-12-13,45.450001,46.049999,45.400002,45.900002,44.716370,12418700
2017-12-14,45.810001,46.169998,45.799999,46.029999,44.843018,9029000
2017-12-15,46.290001,46.419998,46.040001,46.189999,44.998890,21181600
2017-12-18,46.200001,46.380001,45.910000,45.930000,44.745594,10156800
2017-12-19,46.040001,46.380001,45.910000,46.130001,44.940441,8253200
2017-12-20,46.209999,46.299999,45.959999,46.080002,44.891727,7311000
2017-12-21,46.139999,46.220001,45.560001,45.599998,44.424103,9657100
2017-12-22,45.689999,45.730000,45.549999,45.590000,44.414360,5406300
2017-12-26,45.700001,45.860001,45.610001,45.810001,44.628693,6100400
2017-12-27,45.900002,45.939999,45.720001,45.930000,44.745594,5660600
2017-12-28,45.910000,45.990002,45.639999,45.720001,44.541012,6538900
2017-12-29,45.700001,46.180000,45.689999,45.880001,44.696888,8371500
2018-01-02,45.910000,45.939999,45.509998,45.540001,44.365654,10872200
2018-01-03,45.490002,45.689999,45.340000,45.439999,44.268230,12635600
2018-01-04,45.560001,46.220001,45.450001,46.080002,44.891727,12709400
2018-01-05,46.020000,46.200001,45.790001,46.070000,44.881985,13113100
2018-01-08,45.950001,46.099998,45.880001,46.000000,44.813793,7068600
2018-01-09,46.000000,46.360001,45.939999,46.230000,45.037861,9962400
2018-01-10,46.230000,46.259998,45.930000,46.070000,44.881985,10700700
2018-01-11,46.230000,46.230000,45.860001,46.040001,44.852760,7583200
2018-01-12,46.279999,46.389999,46.029999,46.150002,44.959927,14570100
2018-01-16,46.150002,46.619999,46.139999,46.529999,45.330120,16459300
